event_id,timestamp,session_id,user_id,site_domain,event_type,recipient_domain,recipient_declared,data_types_sent,cookie_name,cookie_declared,purpose_observed,purpose_declared,consent_state_at_request,violation_label,severity
evt_1,2026-03-25T10:00:52Z,sess_1000,user_041,shop-example.com,consent_update,firstparty.com,False,"['ip', 'ua']",_ga,True,analytics,analytics,granted,purpose_mismatch,high
evt_2,2026-03-25T10:04:39Z,sess_1000,user_041,shop-example.com,cookie_set,tracker.io,True,"['ip', 'url']",session_id,True,analytics,essential,granted,undeclared_recipient,medium
evt_3,2026-03-25T10:02:52Z,sess_1000,user_041,shop-example.com,script_load,firstparty.com,True,"['ip', 'url']",_ga,False,ads,essential,granted,undeclared_recipient,medium
evt_4,2026-03-25T10:04:34Z,sess_1000,user_041,shop-example.com,page_load,firstparty.com,False,"['ip', 'ua']",session_id,False,essential,analytics,granted,none,none
evt_5,2026-03-25T10:02:28Z,sess_1000,user_041,shop-example.com,page_load,firstparty.com,True,"['ip', 'ua']",,False,ads,essential,granted,undeclared_recipient,medium
evt_6,2026-03-25T10:00:36Z,sess_1001,user_011,news-example.com,script_load,analytics.com,True,"['ip', 'ua']",,False,ads,essential,denied,none,none
evt_7,2026-03-25T10:00:28Z,sess_1001,user_011,news-example.com,cookie_set,analytics.com,True,"['ip', 'url']",,False,analytics,analytics,denied,undeclared_cookie,high
evt_8,2026-03-25T10:03:22Z,sess_1001,user_011,news-example.com,script_load,tracker.io,True,"['ip', 'url']",_gid,True,essential,essential,denied,derived_data_undeclared,high
evt_9,2026-03-25T10:03:39Z,sess_1001,user_011,news-example.com,script_load,tracker.io,False,"['ip', 'ua']",_gid,False,analytics,analytics,denied,none,none
evt_10,2026-03-25T10:03:59Z,sess_1002,user_008,shop-example.com,cookie_set,ads.net,True,"['ip', 'ua', 'url']",_ga,False,essential,ads,granted,derived_data_undeclared,low
evt_11,2026-03-25T10:03:52Z,sess_1002,user_008,shop-example.com,script_load,firstparty.com,False,"['ip', 'ua', 'url']",_gid,True,essential,ads,granted,none,none
evt_12,2026-03-25T10:01:18Z,sess_1002,user_008,shop-example.com,cookie_set,ads.net,True,"['ip', 'ua', 'url']",_ga,False,ads,analytics,granted,none,none
evt_13,2026-03-25T10:02:37Z,sess_1002,user_008,shop-example.com,page_load,analytics.com,True,"['ip', 'ua']",_ga,True,essential,ads,granted,none,none
evt_14,2026-03-25T10:04:32Z,sess_1002,user_008,shop-example.com,page_load,analytics.com,True,"['ip', 'ua', 'url']",,True,ads,essential,granted,none,none
evt_15,2026-03-25T10:01:48Z,sess_1002,user_008,shop-example.com,cookie_set,analytics.com,False,"['ip', 'url']",session_id,False,essential,ads,granted,none,none
evt_16,2026-03-25T10:01:57Z,sess_1003,user_008,shop-example.com,script_load,analytics.com,True,"['ip', 'ua']",_ga,True,analytics,analytics,granted,data_minimization_violation,medium
evt_17,2026-03-25T10:02:22Z,sess_1003,user_008,shop-example.com,page_load,tracker.io,True,"['ip', 'ua', 'url']",_gid,False,analytics,ads,granted,none,none
evt_18,2026-03-25T10:03:40Z,sess_1003,user_008,shop-example.com,network_request,ads.net,False,"['ip', 'url']",,True,essential,essential,granted,consent_bypass,high
evt_19,2026-03-25T10:04:34Z,sess_1004,user_007,shop-example.com,page_load,tracker.io,True,"['ip', 'url']",_gid,False,ads,analytics,denied,undeclared_recipient,low
evt_20,2026-03-25T10:04:41Z,sess_1004,user_007,shop-example.com,network_request,firstparty.com,True,"['ip', 'ua', 'url']",_ga,True,analytics,analytics,denied,none,none
evt_21,2026-03-25T10:01:49Z,sess_1004,user_007,shop-example.com,network_request,tracker.io,True,"['ip', 'ua']",,True,ads,ads,denied,none,none
evt_22,2026-03-25T10:04:44Z,sess_1004,user_007,shop-example.com,network_request,tracker.io,True,"['ip', 'ua']",session_id,True,analytics,essential,denied,purpose_mismatch,high
evt_23,2026-03-25T10:00:29Z,sess_1004,user_007,shop-example.com,cookie_set,firstparty.com,False,"['ip', 'ua', 'url']",_gid,True,essential,analytics,denied,undeclared_cookie,low
evt_24,2026-03-25T10:02:06Z,sess_1005,user_005,media-example.com,network_request,firstparty.com,True,"['ip', 'url']",session_id,False,analytics,essential,granted,data_minimization_violation,high
evt_25,2026-03-25T10:01:07Z,sess_1005,user_005,media-example.com,script_load,ads.net,False,"['ip', 'url']",_ga,True,ads,essential,granted,derived_data_undeclared,high
evt_26,2026-03-25T10:04:19Z,sess_1005,user_005,media-example.com,page_load,ads.net,True,"['ip', 'url']",_ga,True,ads,ads,granted,undeclared_recipient,low
evt_27,2026-03-25T10:02:34Z,sess_1005,user_005,media-example.com,network_request,firstparty.com,False,"['ip', 'ua', 'url']",_ga,True,ads,analytics,granted,none,none
evt_28,2026-03-25T10:02:55Z,sess_1006,user_007,media-example.com,script_load,analytics.com,False,"['ip', 'ua', 'url']",,False,analytics,analytics,granted,none,none
evt_29,2026-03-25T10:00:22Z,sess_1006,user_007,media-example.com,network_request,firstparty.com,False,"['ip', 'ua']",session_id,True,essential,ads,granted,none,none
evt_30,2026-03-25T10:04:47Z,sess_1006,user_007,media-example.com,cookie_set,firstparty.com,True,"['ip', 'ua']",_gid,True,ads,essential,granted,none,none
evt_31,2026-03-25T10:00:21Z,sess_1006,user_007,media-example.com,cookie_set,ads.net,False,"['ip', 'ua']",session_id,True,essential,analytics,granted,undeclared_recipient,high
evt_32,2026-03-25T10:04:46Z,sess_1006,user_007,media-example.com,page_load,tracker.io,True,"['ip', 'ua']",_gid,True,ads,analytics,granted,none,none
evt_33,2026-03-25T10:00:55Z,sess_1007,user_012,media-example.com,consent_update,tracker.io,True,"['ip', 'url']",_gid,True,ads,ads,denied,passive_data_leak,medium
evt_34,2026-03-25T10:01:38Z,sess_1007,user_012,media-example.com,consent_update,tracker.io,False,"['ip', 'url']",_ga,False,ads,essential,denied,purpose_mismatch,high
evt_35,2026-03-25T10:04:34Z,sess_1007,user_012,media-example.com,network_request,ads.net,True,"['ip', 'ua']",session_id,True,essential,ads,denied,none,none
evt_36,2026-03-25T10:02:56Z,sess_1007,user_012,media-example.com,page_load,ads.net,False,"['ip', 'ua', 'url']",_ga,False,essential,analytics,denied,derived_data_undeclared,medium
evt_37,2026-03-25T10:00:00Z,sess_1007,user_012,media-example.com,page_load,analytics.com,False,"['ip', 'url']",_ga,False,essential,ads,denied,none,none
evt_38,2026-03-25T10:02:33Z,sess_1007,user_012,media-example.com,page_load,ads.net,False,"['ip', 'url']",,False,essential,analytics,denied,none,none
evt_39,2026-03-25T10:03:27Z,sess_1008,user_013,news-example.com,cookie_set,firstparty.com,False,"['ip', 'url']",_gid,False,essential,essential,denied,none,none
evt_40,2026-03-25T10:03:46Z,sess_1008,user_013,news-example.com,script_load,analytics.com,False,"['ip', 'ua', 'url']",_gid,True,ads,essential,denied,none,none
evt_41,2026-03-25T10:02:00Z,sess_1008,user_013,news-example.com,cookie_set,ads.net,True,"['ip', 'ua']",_gid,True,analytics,analytics,denied,none,none
evt_42,2026-03-25T10:00:37Z,sess_1008,user_013,news-example.com,network_request,tracker.io,False,"['ip', 'ua', 'url']",_gid,False,ads,ads,denied,none,none
evt_43,2026-03-25T10:04:25Z,sess_1009,user_016,shop-example.com,network_request,tracker.io,True,"['ip', 'ua', 'url']",_gid,True,ads,analytics,granted,passive_data_leak,medium
evt_44,2026-03-25T10:02:42Z,sess_1009,user_016,shop-example.com,cookie_set,tracker.io,False,"['ip', 'ua', 'url']",,True,essential,ads,granted,none,none
evt_45,2026-03-25T10:02:21Z,sess_1009,user_016,shop-example.com,network_request,tracker.io,True,"['ip', 'url']",,True,essential,ads,granted,undeclared_recipient,low
evt_46,2026-03-25T10:01:18Z,sess_1010,user_018,news-example.com,consent_update,analytics.com,True,"['ip', 'url']",,False,essential,ads,denied,derived_data_undeclared,medium
evt_47,2026-03-25T10:03:19Z,sess_1010,user_018,news-example.com,page_load,firstparty.com,False,"['ip', 'url']",_ga,False,ads,ads,denied,derived_data_undeclared,medium
evt_48,2026-03-25T10:04:39Z,sess_1010,user_018,news-example.com,cookie_set,analytics.com,False,"['ip', 'ua']",session_id,False,ads,analytics,denied,none,none
evt_49,2026-03-25T10:04:33Z,sess_1011,user_025,news-example.com,network_request,firstparty.com,False,"['ip', 'ua', 'url']",_ga,True,essential,ads,denied,none,none
evt_50,2026-03-25T10:01:33Z,sess_1011,user_025,news-example.com,consent_update,firstparty.com,False,"['ip', 'url']",session_id,True,ads,ads,denied,none,none
evt_51,2026-03-25T10:03:14Z,sess_1011,user_025,news-example.com,script_load,ads.net,False,"['ip', 'url']",_ga,False,analytics,essential,denied,none,none
evt_52,2026-03-25T10:01:54Z,sess_1011,user_025,news-example.com,cookie_set,firstparty.com,True,"['ip', 'ua']",_gid,True,analytics,essential,denied,undeclared_cookie,low
evt_53,2026-03-25T10:03:58Z,sess_1012,user_016,shop-example.com,cookie_set,ads.net,False,"['ip', 'ua']",_ga,True,ads,analytics,denied,none,none
evt_54,2026-03-25T10:04:54Z,sess_1012,user_016,shop-example.com,cookie_set,tracker.io,False,"['ip', 'ua', 'url']",_gid,True,essential,essential,denied,undeclared_cookie,high
evt_55,2026-03-25T10:02:34Z,sess_1012,user_016,shop-example.com,consent_update,firstparty.com,True,"['ip', 'url']",,False,analytics,essential,denied,passive_data_leak,high
evt_56,2026-03-25T10:03:05Z,sess_1013,user_022,shop-example.com,page_load,tracker.io,True,"['ip', 'url']",_gid,False,essential,essential,denied,none,none
evt_57,2026-03-25T10:02:17Z,sess_1013,user_022,shop-example.com,network_request,ads.net,True,"['ip', 'ua']",session_id,False,analytics,ads,denied,none,none
evt_58,2026-03-25T10:03:14Z,sess_1013,user_022,shop-example.com,cookie_set,ads.net,True,"['ip', 'url']",session_id,True,ads,analytics,denied,none,none
evt_59,2026-03-25T10:02:54Z,sess_1013,user_022,shop-example.com,script_load,ads.net,False,"['ip', 'ua', 'url']",_ga,True,analytics,analytics,denied,none,none
evt_60,2026-03-25T10:02:03Z,sess_1013,user_022,shop-example.com,network_request,tracker.io,False,"['ip', 'url']",_ga,True,ads,analytics,denied,none,none
